,word1,word2,sim,simPredict
0,kitaplardan,hikayelerden,0.5861,0.5662152767181396
4,saatlerce,dakikalarca,0.6583,0.6904399991035461
5,okumuştum,konuşmuştum,0.4194,0.20280233025550842
8,gidiyorlardı,seviyorlardı,0.25830000000000003,0.3272898197174072
10,yazılardan,kazılardan,0.2528,0.27580276131629944
12,eğitmenlerimiz,öğretmenlerimiz,0.8111,0.4129257798194885
13,yürüdüm,koştum,0.6111,0.6332176923751831
15,kağıtları,kalemleri,0.5861,0.304965615272522
16,yaşıtlarından,akranlarından,0.9667,0.7628211379051208
18,evlere,eklere,0.1722,0.09938210994005203
21,yolculuklarında,uykularında,0.2,0.18708467483520508
22,koltuklarında,okullarında,0.1543,-0.006645906716585159
24,geldiklerinde,gittiklerinde,0.6389,0.6249428987503052
27,okudular,yazdılar,0.5778,0.5149652361869812
29,yıllardır,saatlerdir,0.5139,0.12097550928592682
30,yazıyorlardı,okuyorlardı,0.5417,0.42826974391937256
32,otomobillere,lastiklere,0.5194,0.34831714630126953
33,gururundan,onurundan,0.7972,0.5343083143234253
34,şirketlerde,firmalarda,0.8722,0.7309855222702026
37,koltuklar,sandalyeler,0.6416999999999999,0.6574957966804504
41,bilgisayarların,perdelerin,0.1444,0.22444139420986176
42,kedilerin,kuşların,0.5,0.5059835314750671
46,evlerinde,okullarında,0.4222,0.3867301344871521
49,sevincimiz,mutluluğumuz,0.9,0.631978452205658
51,bilgimizin,sevgimizin,0.2556,0.3585848808288574
53,çiçeklerin,saksıların,0.6172,0.3183111846446991
61,çizdim,boyadım,0.6103,0.5257463455200195
63,yazdıklarımız,tanıdıklarımız,0.1759,0.24710747599601746
64,ışıkların,lambaların,0.7931,0.5716899037361145
65,arabaların,kamyonların,0.6793,0.5727561712265015
66,çocukların,yetişkinlerin,0.6241,0.6989557147026062
67,camları,pencereleri,0.7793,0.620701789855957
68,oyuncaklar,salıncaklar,0.5345,0.2944892346858978
69,paralar,kasalar,0.5586,0.2555493414402008
71,paketler,maketler,0.24830000000000002,0.13202013075351715
72,camlarda,perdelerde,0.5345,0.42093580961227417
73,saatlerin,dakikaların,0.6207,0.4655812084674835
74,binalarda,evlerde,0.6828000000000001,0.595216691493988
75,kulakların,kapakların,0.1655,0.24329526722431183
76,yıldızın,güneşin,0.6103,0.40545526146888733
77,sattılar,kattılar,0.1966,0.31293797492980957
78,emretti,buyurdu,0.9069,0.6366645693778992
80,yıktı,yıkadı,0.16899999999999998,0.2814311683177948
81,metallerin,demirlerin,0.6799999999999999,0.3172807991504669
82,televizyonlarda,radyolarda,0.572,0.6127979755401611
83,yedikten,içtikten,0.584,0.6296854019165039
85,konuştular,söylediler,0.8,0.3445341885089874
86,temizlediler,eklediler,0.152,0.13584212958812714
88,camları,çerçeveleri,0.608,0.4453640580177307
92,kalabalıklar,balıklar,0.152,0.13988620042800903
95,çalıştılar,yaklaştılar,0.2,0.2797427177429199
96,açtılar,kapattılar,0.648,0.6360591650009155
97,yarasanın,yasanın,0.124,-0.10700640082359314
98,karanlıktan,aydınlıktan,0.6599999999999999,0.394405722618103
99,şehirdeyim,deyimler,0.10800000000000001,0.07016623765230179
100,doktorların,öğretmenlerin,0.42800000000000005,0.33683639764785767
101,kamyonların,traktörlerin,0.5833,0.44755861163139343
103,kütüphanelerde,kitaplarda,0.628,0.3592471182346344
104,yazdılar,sildiler,0.6,0.3499087691307068
105,mühendisler,doktorlar,0.484,0.38466477394104004
106,içtiler,kestiler,0.172,0.2554454505443573
107,kapıların,pencerelerin,0.532,0.68239825963974
109,başardı,yakardı,0.13999999999999999,-0.04305781424045563
110,resimlerde,kesimlerde,0.148,0.10193603485822678
111,firarda,zararda,0.144,0.02399909310042858
112,ailelerin,kalelerin,0.144,-0.05118294805288315
114,toplantıları,saplantıları,0.128,-0.08056443929672241
115,gençliğimizde,çocukluğumuzda,0.62,0.6336370706558228
118,bisikletleri,arabaları,0.508,0.48214560747146606
121,tahtaların,çantaların,0.188,0.28992611169815063
122,tırnakların,ellerin,0.564,0.45309263467788696
124,kızların,erkeklerin,0.6679999999999999,0.7068704962730408
125,yaparken,sayarken,0.244,0.007036816794425249
126,derslerde,sınıflarda,0.692,0.6197715401649475
128,bitkilerin,etkilerin,0.13999999999999999,0.2905856966972351
129,merdivenleri,eldivenleri,0.136,0.14391376078128815
132,okullarda,hastanelerde,0.376,0.43326568603515625
133,kalabalık,salatalık,0.128,-0.011187782511115074
136,yapraklar,taraklar,0.136,0.18301504850387573
